URL,HomeTeam,HomeGoals,AwayTeam,AwayGoals
https://soccer365.ru/games/15693445/,Тре Пенне,1,Брейдаблик,7
https://soccer365.ru/games/15693446/,Будучность,0,Брейдаблик,5
https://soccer365.ru/games/15693447/,Хеккен,3,ТНС,1
https://soccer365.ru/games/15693448/,Балканы,2,Лудогорец,0
https://soccer365.ru/games/15693449/,Шемрок,0,Брейдаблик,1
https://soccer365.ru/games/15693450/,Жальгирис,0,Штруга,0
https://soccer365.ru/games/15693451/,КИ Клаксвик,0,Ференцварош,0
https://soccer365.ru/games/15693452/,Олимпия Любляна,2,Валмиера,1
https://soccer365.ru/games/15693453/,ХИК,1,Ларн,0
https://soccer365.ru/games/15693454/,Линкольн Ред Импс,1,Карабах Агдам,2
https://soccer365.ru/games/15693455/,Ракув,1,Флора,0
https://soccer365.ru/games/15693456/,Слован Братислава,1,Свифт Эсперанж,1
https://soccer365.ru/games/15693457/,Фарул,1,Шериф,0
https://soccer365.ru/games/15693458/,Хамрун Спартанс,0,Маккаби Хайфа,4
https://soccer365.ru/games/15693459/,Урарту,0,Зриньски,1
https://soccer365.ru/games/15693460/,Партизани,1,БАТЭ,1
https://soccer365.ru/games/15693461/,Астана,1,Динамо Тб,1
https://soccer365.ru/games/15693462/,ТНС,0,Хеккен,2
https://soccer365.ru/games/15693463/,Лудогорец,4,Балканы,0
https://soccer365.ru/games/15693464/,Брейдаблик,2,Шемрок,1
https://soccer365.ru/games/15693465/,Штруга,1,Жальгирис,2
https://soccer365.ru/games/15693466/,Ференцварош,0,КИ Клаксвик,3
https://soccer365.ru/games/15693467/,Валмиера,1,Олимпия Любляна,2
https://soccer365.ru/games/15693468/,Ларн,2,ХИК,2
https://soccer365.ru/games/15693469/,Карабах Агдам,4,Линкольн Ред Импс,0
https://soccer365.ru/games/15693470/,Флора,0,Ракув,3
https://soccer365.ru/games/15693471/,Свифт Эсперанж,0,Слован Братислава,2
https://soccer365.ru/games/15693472/,Шериф,3,Фарул,0
https://soccer365.ru/games/15693473/,Маккаби Хайфа,2,Хамрун Спартанс,1
https://soccer365.ru/games/15693474/,Зриньски,2,Урарту,3
https://soccer365.ru/games/15693475/,БАТЭ,2,Партизани,0
https://soccer365.ru/games/15693476/,Динамо Тб,1,Астана,2
https://soccer365.ru/games/15693477/,Жальгирис,2,Галатасарай,2
https://soccer365.ru/games/15693478/,Лудогорец,1,Олимпия Любляна,1
https://soccer365.ru/games/15693479/,Ракув,3,Карабах Агдам,2
https://soccer365.ru/games/15693480/,КИ Клаксвик,0,Хеккен,0
https://soccer365.ru/games/15693481/,ХИК,1,Молде,0
https://soccer365.ru/games/15693482/,Брейдаблик,0,Копенгаген,2
https://soccer365.ru/games/15693483/,Шериф,1,Маккаби Хайфа,0
https://soccer365.ru/games/15693484/,Арис Лимасол,6,БАТЭ,2
https://soccer365.ru/games/15693485/,Зриньски,0,Слован Братислава,1
https://soccer365.ru/games/15693486/,Динамо Загреб,4,Астана,0
https://soccer365.ru/games/15693487/,Днепр-1,1,Панатинаикос,3
https://soccer365.ru/games/15693488/,Серветт,1,Генк,1
https://soccer365.ru/games/15693489/,Галатасарай,1,Жальгирис,0
https://soccer365.ru/games/15693490/,Олимпия Любляна,2,Лудогорец,1
https://soccer365.ru/games/15693491/,Карабах Агдам,1,Ракув,1
https://soccer365.ru/games/15693492/,Хеккен,3,КИ Клаксвик,3
https://soccer365.ru/games/15693493/,Молде,2,ХИК,0
https://soccer365.ru/games/15693494/,Копенгаген,6,Брейдаблик,3
https://soccer365.ru/games/15693495/,Маккаби Хайфа,4,Шериф,1
https://soccer365.ru/games/15693496/,БАТЭ,3,Арис Лимасол,5
https://soccer365.ru/games/15693497/,Слован Братислава,2,Зриньски,2
https://soccer365.ru/games/15693498/,Астана,0,Динамо Загреб,2
https://soccer365.ru/games/15693499/,Панатинаикос,2,Днепр-1,2
https://soccer365.ru/games/15693500/,Генк,2,Серветт,2
https://soccer365.ru/games/15693501/,Арис Лимасол,0,Ракув,1
https://soccer365.ru/games/15693502/,Маккаби Хайфа,3,Слован Братислава,1
https://soccer365.ru/games/15693503/,АЕК Афины,2,Динамо Загреб,2
https://soccer365.ru/games/15693504/,Галатасарай,1,Олимпия Любляна,0
https://soccer365.ru/games/15693505/,Спарта Прага,2,Копенгаген,0
https://soccer365.ru/games/15693507/,Бачка Топола,1,Брага,4
https://soccer365.ru/games/15693508/,Серветт,1,Рейнджерс,1
https://soccer365.ru/games/15693509/,Марсель,2,Панатинаикос,1
https://soccer365.ru/games/15693510/,Штурм Грац,1,ПСВ,3
https://soccer365.ru/games/15693511/,Арис Лимасол,0,Ракув,1
https://soccer365.ru/games/15693512/,Маккаби Хайфа,3,Слован Братислава,1
https://soccer365.ru/games/15693513/,АЕК Афины,2,Динамо Загреб,2
https://soccer365.ru/games/15693514/,Галатасарай,1,Олимпия Любляна,0
https://soccer365.ru/games/15693515/,Спарта Прага,2,Копенгаген,0
https://soccer365.ru/games/15693517/,Бачка Топола,1,Брага,4
https://soccer365.ru/games/15693518/,Серветт,1,Рейнджерс,1
https://soccer365.ru/games/15693519/,Марсель,2,Панатинаикос,1
https://soccer365.ru/games/15693520/,Штурм Грац,1,ПСВ,3
https://soccer365.ru/games/15693521/,Янг Бойз,3,Маккаби Хайфа,0
https://soccer365.ru/games/15693522/,АЕК Афины,1,Антверпен,2
https://soccer365.ru/games/15693523/,Копенгаген,1,Ракув,1
https://soccer365.ru/games/15693524/,Галатасарай,2,Молде,1
https://soccer365.ru/games/15693525/,ПСВ,5,Рейнджерс,1
https://soccer365.ru/games/15693526/,Панатинаикос,0,Брага,1
https://soccer365.ru/games/15693527/,Янг Бойз,3,Маккаби Хайфа,0
https://soccer365.ru/games/15693528/,АЕК Афины,1,Антверпен,2
https://soccer365.ru/games/15693529/,Копенгаген,1,Ракув,1
https://soccer365.ru/games/15693530/,Галатасарай,2,Молде,1
https://soccer365.ru/games/15693531/,ПСВ,5,Рейнджерс,1
https://soccer365.ru/games/15693532/,Панатинаикос,0,Брага,1
https://soccer365.ru/games/15693533/,РБ Лейпциг,2,Янг Бойз,1
https://soccer365.ru/games/15693534/,Ньюкасл,1,Милан,2
https://soccer365.ru/games/15693535/,Црвена Звезда,2,Ман Сити,3
https://soccer365.ru/games/15693536/,Антверпен,3,Барселона,2
https://soccer365.ru/games/15693537/,Порту,5,Шахтер,3
